"Loetoeng kasaroeng",(1926),"Fantasy","https://m.media-amazon.com/images/M/MV5BZTAxY2ZmMzAtMTQ3Ny00MmU4LWI1MTEtNGNjM2M3OTg2NGI0XkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UY98_CR4,0,67,98_AL_.jpg"
"Eulis atjih",(1927),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Lily van Java",(1928),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Resia Boroboedoer",(1928),"Adventure","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Setangan Berloemoer Darah",(1928),"",""
"Njai Dasima (I)",(1929),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Rampok Preanger",(1929),"",""
"Si Tjonat",(1929),"Action","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"De Stem Des Bloed",(1930),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Karnadi Anemer Bangkong",(1930),"",""
"Lari Ka Arab",(1930),"",""
"Nancy Birkin Pembalesan",(1930),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Njai Dasima (II)",(1930),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Si Ronda",(1930),"",""
"Ria Rago: Pahlawan Wanita dari Lembah Ndona",(1930),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Melati van Agam (I dan II)",(1931),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Boenga Roos Dari Tjikembang",(1931),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Indonesia Malaise",(1931),"Comedy","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Sam Pek Eng Tay",(1931),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Si Pitoeng",(1931),"Action","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Sinjo 'Tjo' Main Di Film",(1931),"",""
"Njai Dasima",(1932),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Raonah",(1932),"",""
"Terpaksa Menika",(1932),"Musical","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Zoester Theresia",(1932),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Amorira",(1932),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Delapan Djago Pedang",(1933),"",""
"Pat Bie To",(1933),"",""
"Ouw Peh Tjoa",(1934),"Fantasy","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Ang Hai Djie",(1935),"",""
"Pan Sie Tong",(1935),"",""
"Poei sie giok pa loei tay",(1935),"Action","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Tie Pat Kai Kawin",(1935),"Fantasy","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Pareh",(1936),"Romance","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Anaknja Siloeman Oeler Poeti",(1936),"Fantasy","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Lima Siloeman Tikoes",(1936),"Fantasy","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Pembakaran Bio 'Hong Lian Sie'",(1936),"Action","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Terang boelan",(1937),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Gadis jang Terdjoeal",(1937),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Fatima",(1938),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Oh Iboe",(1938),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Tjiandjoer",(1938),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Alang-Alang",(1939),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Gagak Item",(1939),"",""
"Impian di Bali",(1939),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Roesia si Pengkor",(1939),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Siti Akbari",(1939),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Kedok ketawa",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Bajar Dengan Djiwa",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Dasima",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Harta Berdarah",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Kartinah",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Kris Mataram",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Matjan Berbisik",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Melati Van Agam",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Pah Wongso Pendekar Boediman",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Roekihati",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Rentjong Atjeh",(1940),"Action","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Sorga Ka Toedjoe",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Sorga Palsoe",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Zoebaida",(1940),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Asmara Moerni",(1941),"Romance","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Boedjoekan iblis",(1941),"",""
"Garoeda mas",(1941),"",""
"Moestika dari djenar",(1941),"",""
"Tengkorak Hidoep",(1941),"Action,Adventure,Horror","https://m.media-amazon.com/images/M/MV5BMGViMjlmNTItMDYwMC00ZGRmLWE4M2MtZmRmMjY4ODA1Y2UwXkEyXkFqcGdeQXVyMjQ0ODE4OTU@._V1_UY98_CR34,0,67,98_AL_.jpg"
"Harta karun",(1949),"Comedy","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Tjitra",(1949),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Darah dan Doa",(1950),"Drama","https://m.media-amazon.com/images/M/MV5BYjFiMjE3ODQtOTE1MC00YTk1LWI2NjEtYjNiYzU5YzkzYWJhXkEyXkFqcGdeQXVyMDYxMDYyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Meratap hati",(1950),"",""
"Djembatan merah",(1950),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Budi satria",(1950),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Irawaty",(1950),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Enam Djam Di Djogja",(1951),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Akibat",(1951),"",""
"Embun",(1951),"",""
"Main-main djadi sungguhan",(1951),"",""
"Merebut kasih",(1951),"",""
"Pembalasan",(1951),"",""
"Dosa tak berampun",(1951),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Njiur melambai",(1951),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Air mata pengantin",(1952),"",""
"Terimaiah laguku",(1952),"",""
"Pahit-pahit manis",(1952),"",""
"Terkabul",(1952),"",""
"Ternoda",(1952),"",""
"Surja",(1952),"",""
"Pengorbanan",(1952),"",""
"Satria desa",(1952),"",""
"Tiga benda adjaib",(1952),"",""
"Pulang",(1952),"",""
"Rodrigo de Villa",(II) (1952),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Kumala dewa dewi",(1952),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Dewa dewi",(1952),"Action,Fantasy","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Tenang menanti",(1952),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Chandra dewi",(1952),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Putri solo",(1953),"",""
"Harimau Tjampa",(1953),"Drama","https://m.media-amazon.com/images/M/MV5BNDJiZjc2OTYtOTA2Mi00NjAzLWIwMzctNGM2M2Y4ZTk4ZTY0XkEyXkFqcGdeQXVyOTc4OTQyNzY@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Dendang sajang",(1953),"",""
"Musafir kelana",(1953),"",""
"Pandji semiran",(1953),"",""
"Asmara murni",(1953),"",""
"Lagu kenangan",(1953),"",""
"Kenari",(1953),"",""
"Harimau dan merpati",(1953),"",""
"Ratna kumala",(1953),"",""
"Ajah kikir",(1953),"",""
"Aladin",(1953),"",""
"Burung bitjara",(1953),"",""
"Empat sekawan",(1953),"",""
"Pangeran hamid",(1953),"",""
"Tiga saudari",(1953),"",""
"Leilani (Tabu)",(1953),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Kafedo",(1953),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Krisis",(1953),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Rosita",(1953),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Nachoda harimau lapar",(1953),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Lewat Djam Malam",(1954),"Drama","https://m.media-amazon.com/images/M/MV5BY2Y5YTk2YTItNWJjZS00NTdkLWI1YjQtOWU2ZjMyMTQ2ZDcyXkEyXkFqcGdeQXVyMjY2ODczNjc@._V1_UY98_CR32,0,67,98_AL_.jpg"
"Pegawai tinggi",(1954),"",""
"Supir istimewa",(1954),"",""
"Mertua sinting",(1954),"",""
"Putri dari medan",(1954),"",""
"Kali brantas",(1954),"",""
"Malu-malu kutjing",(1954),"",""
"Djula djuli bintang tiga",(1954),"",""
"Perantaian 13",(1954),"",""
"Senen raja",(1954),"",""
"Gara-gara djanda muda",(1954),"",""
"Kasih sajang",(1954),"",""
"Kopral djono",(1954),"",""
"Sri Asih",(1954),"",""
"Adios",(1954),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Tarmina",(1954),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Debu Revolusi",(1954),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Tamu Agung",(1955),"Comedy","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Ratu kentjana",(1955),"",""
"Arni",(1955),"",""
"Gadis sesat",(1955),"",""
"Rewel",(1955),"",""
"Seniman desa",(1955),"",""
"Ada gula ada semut",(1955),"",""
"Berdjumpa kembali",(1955),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Oh, ibuku",(1955),"",""
"Kuala deli",(1955),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Lagi-lagi Krisis",(1955),"Comedy,Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Putra solo",(1955),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Guntur",(1955),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Dharma bakti",(1955),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Kunanti di borobudur",(1955),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Tiga Dara",(1956),"Comedy,Drama,Musical","https://m.media-amazon.com/images/M/MV5BMTIwY2RmYWYtMDFmMS00MGMwLWFlYzctY2UxMDBlNTA1ZDkwXkEyXkFqcGdeQXVyMDU3MjcxMg@@._V1_UY98_CR0,0,67,98_AL_.jpg"
"Pegawai negeri",(1956),"",""
"Kamar kosong",(1956),"",""
"Pemetjahan polgami",(1956),"",""
"Pesan terachir",(1956),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Si Pitjang",(1957),"Drama,War","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Biola",(1957),"",""
"Anakku sajang",(1957),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Sengketa",(1957),"Comedy,Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
